iter	Passed	Remaining
0	0	298
1	0	289
2	0	287
3	1	283
4	1	281
5	1	279
6	1	279
7	2	279
8	2	279
9	2	278
10	3	278
11	3	280
12	3	279
13	3	278
14	4	277
15	4	277
16	4	278
17	5	277
18	5	290
19	5	289
20	6	288
21	6	288
22	6	288
23	7	287
24	7	286
25	7	286
26	7	285
27	8	284
28	8	284
29	8	283
30	9	282
31	9	282
32	9	281
33	9	281
34	10	280
35	10	283
36	10	284
37	11	285
38	11	284
39	11	283
40	12	283
41	12	282
42	12	281
43	12	280
44	13	280
45	13	279
46	13	279
47	14	280
48	14	279
49	14	279
50	14	278
51	15	280
52	15	279
53	15	279
54	16	278
55	16	278
56	16	278
57	17	277
58	17	277
59	17	276
60	17	276
61	18	277
62	18	276
63	18	276
64	19	275
65	19	274
66	19	274
67	19	273
68	20	273
69	20	273
70	20	272
71	21	272
72	21	274
73	21	273
74	22	273
75	22	273
76	22	272
77	23	272
78	23	271
79	23	271
80	23	270
81	24	270
82	24	269
83	24	269
84	24	268
85	25	268
86	25	267
87	25	266
88	26	266
89	26	265
90	26	265
91	26	264
92	27	264
93	27	264
94	27	263
95	27	263
96	28	262
97	28	262
98	28	262
99	29	262
100	29	262
101	29	263
102	30	264
103	30	264
104	31	264
105	31	264
106	31	264
107	32	265
108	32	264
109	32	264
110	32	263
111	33	263
112	33	263
113	33	262
114	34	262
115	34	262
116	34	261
117	34	261
118	35	260
119	35	260
120	35	259
121	36	259
122	36	259
123	36	258
124	36	258
125	37	257
126	37	258
127	37	258
128	38	257
129	38	257
130	38	256
131	39	256
132	39	256
133	39	255
134	39	255
135	40	254
136	40	254
137	40	254
138	40	253
139	41	253
140	41	252
141	41	252
142	42	252
143	42	251
144	42	251
145	42	250
146	43	250
147	43	250
148	43	249
149	44	249
150	44	248
151	44	248
152	44	248
153	45	247
154	45	247
155	45	247
156	46	248
157	46	248
158	46	248
159	47	248
160	47	248
161	47	248
162	48	247
163	48	247
164	48	247
165	49	246
166	49	246
167	49	246
168	50	246
169	50	245
170	50	245
171	50	245
172	51	244
173	51	244
174	51	244
175	52	243
176	52	243
177	52	242
178	52	242
179	53	242
180	53	242
181	53	242
182	54	241
183	54	241
184	54	240
185	54	240
186	55	240
187	55	239
188	55	239
189	56	238
190	56	238
191	56	238
192	57	238
193	57	238
194	57	237
195	57	237
196	58	237
197	58	236
198	58	236
199	59	236
200	59	235
201	59	235
202	59	235
203	60	234
204	60	235
205	60	234
206	61	234
207	61	233
208	61	234
209	62	233
210	62	233
211	63	235
212	63	235
213	64	235
214	64	234
215	64	234
216	64	234
217	65	233
218	65	233
219	65	233
220	66	233
221	66	232
222	66	232
223	66	232
224	67	231
225	67	231
226	67	231
227	68	231
228	68	230
229	69	232
230	69	232
231	70	232
232	70	231
233	70	231
234	70	231
235	71	230
236	71	230
237	71	229
238	72	229
239	72	229
240	72	228
241	72	228
242	73	228
243	73	227
244	73	227
245	74	227
246	74	226
247	74	226
248	74	226
249	75	225
250	75	225
251	75	225
252	76	225
253	76	224
254	76	224
255	77	224
256	77	224
257	77	223
258	78	223
259	78	223
260	78	223
261	79	222
262	79	222
263	79	221
264	79	221
265	80	221
266	80	220
267	80	220
268	81	220
269	81	219
270	81	219
271	81	219
272	82	218
273	82	218
274	82	217
275	82	217
276	83	217
277	83	216
278	83	216
279	84	216
280	84	215
281	84	215
282	84	215
283	85	214
284	85	214
285	85	214
286	86	213
287	86	213
288	86	213
289	87	213
290	87	213
291	87	212
292	87	212
293	88	211
294	88	211
295	88	211
296	89	210
297	89	210
298	89	210
299	89	209
300	90	209
301	90	209
302	90	209
303	91	208
304	91	208
305	91	208
306	92	207
307	92	207
308	93	209
309	93	208
310	94	208
311	94	208
312	94	207
313	95	207
314	95	207
315	95	206
316	95	206
317	96	206
318	96	205
319	96	205
320	96	205
321	97	204
322	97	204
323	97	204
324	98	203
325	98	203
326	98	203
327	99	202
328	99	202
329	99	202
330	99	201
331	100	201
332	100	201
333	100	201
334	101	200
335	101	200
336	101	200
337	102	200
338	102	199
339	102	199
340	102	199
341	103	198
342	103	198
343	103	198
344	104	197
345	104	197
346	104	196
347	104	196
348	105	196
349	105	195
350	105	195
351	106	195
352	106	194
353	106	194
354	106	194
355	107	193
356	107	193
357	107	193
358	108	192
359	108	192
360	108	192
361	108	191
362	109	191
363	109	191
364	109	190
365	110	190
366	110	190
367	110	190
368	110	189
369	111	189
370	111	189
371	111	188
372	112	188
373	112	188
374	112	187
375	112	187
376	113	187
377	113	186
378	113	186
379	114	186
380	114	185
381	114	185
382	114	185
383	115	184
384	115	184
385	115	184
386	115	183
387	116	183
388	116	183
389	116	182
390	117	182
391	117	182
392	117	181
393	118	181
394	118	181
395	118	180
396	118	180
397	119	180
398	119	179
399	119	179
400	120	179
401	120	178
402	120	178
403	120	178
404	121	178
405	121	177
406	121	177
407	121	177
408	122	176
409	122	176
410	122	176
411	123	175
412	123	175
413	123	175
414	124	174
415	124	174
416	124	174
417	124	173
418	125	173
419	125	173
420	125	172
421	126	172
422	126	172
423	126	171
424	126	171
425	127	171
426	127	170
427	127	170
428	128	170
429	128	170
430	128	169
431	128	169
432	129	169
433	129	168
434	129	168
435	130	168
436	130	167
437	130	167
438	130	167
439	131	167
440	131	166
441	131	166
442	132	166
443	132	166
444	133	166
445	133	165
446	133	165
447	134	165
448	134	164
449	134	164
450	134	164
451	135	163
452	135	163
453	135	163
454	136	163
455	136	162
456	136	162
457	136	162
458	137	161
459	137	161
460	137	161
461	137	160
462	138	160
463	138	160
464	138	159
465	139	159
466	139	159
467	139	159
468	140	159
469	141	159
470	141	158
471	141	158
472	141	158
473	142	157
474	142	157
475	142	157
476	143	156
477	143	156
478	143	156
479	143	155
480	144	155
481	144	155
482	144	154
483	145	154
484	145	154
485	145	153
486	145	153
487	146	153
488	146	152
489	146	152
490	147	152
491	147	152
492	147	151
493	147	151
494	148	151
495	148	150
496	148	150
497	149	150
